Ticker,Shares
BB.TO,36208.5453
RY.TO,671.2968
TD.TO,1220.5443
CAT,36.8565
AAPL,74.0737
AMZN,88.7504
QCOM,113.0156
ACN,72.5672
UPS,192.1995
UNP,83.189
UNH,59.4259
PFE,769.9225
BMY,345.5485
LLY,17.327
BA,86.5436
LMT,38.6921
TXN,103.9165
BLK,11.2767
BAC,211.6431
C,101.1753
USB,214.2402
AXP,30.2635
BK,95.9891
PYPL,181.812
AIG,120.5058
