Ticker,Shares
WMT,414.8668
PG,299.8609
V,88.8632
AAPL,107.9719
AMZN,131.7948
HON,151.2145
JPM,95.0057
CSCO,373.1312
LOW,122.277
QCOM,174.799
IBM,95.6649
GOOGL,95.6775
NKE,450.4737
UPS,302.6109
HD,82.6572
AVGO,79.0653
ADBE,87.6082
UNH,87.6549
ACN,112.5731
MA,51.0648
UNP,120.5389
INTC,791.1054
BA,146.8613
DHR,115.6571
LLY,24.5887
